MSSubClass,MSZoning,LotArea,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,SalePrice
60,RL,8450,5,2003,2003,856,208500
20,RL,9600,8,1976,1976,1262,181500
60,RL,11250,5,2001,2002,920,223500
70,RL,9550,5,1915,1970,756,140000
60,RL,14260,5,2000,2000,1145,250000
50,RL,14115,5,1993,1995,796,143000
20,RL,10084,5,2004,2005,1686,307000
60,RL,10382,6,1973,1973,1107,200000
50,RM,6120,5,1931,1950,952,129900
190,RL,7420,6,1939,1950,991,118000
20,RL,11200,5,1965,1965,1040,129500
60,RL,11924,5,2005,2006,1175,345000
20,RL,12968,6,1962,1962,912,144000
20,RL,10652,5,2006,2007,1494,279500
20,RL,10920,5,1960,1960,1253,157000
45,RM,6120,8,1929,2001,832,132000
20,RL,11241,7,1970,1970,1004,149000
90,RL,10791,5,1967,1967,0,90000
20,RL,13695,5,2004,2004,1114,159000
20,RL,7560,6,1958,1965,1029,139000
60,RL,14215,5,2005,2006,1158,325300
45,RM,7449,7,1930,1950,637,139400
20,RL,9742,5,2002,2002,1777,230000
120,RM,4224,7,1976,1976,1040,129900
20,RL,8246,8,1968,2001,1060,154000
20,RL,14230,5,2007,2007,1566,256300
20,RL,7200,7,1951,2000,900,134800
20,RL,11478,5,2007,2008,1704,306000
20,RL,16321,6,1957,1997,1484,207500
30,RM,6324,6,1927,1950,520,68500
70,C (all),8500,4,1920,1950,649,40000
20,RL,8544,6,1966,2006,1228,149350
20,RL,11049,5,2007,2007,1234,179900
20,RL,10552,5,1959,1959,1398,165500
120,RL,7313,5,2005,2005,1561,277500
60,RL,13418,5,2004,2005,1117,309000
20,RL,10859,5,1994,1995,1097,145000
20,RL,8532,6,1954,1990,1297,153000
20,RL,7922,7,1953,2007,1057,109000
90,RL,6040,5,1955,1955,0,82000
20,RL,8658,5,1965,1965,1088,160000
20,RL,16905,6,1959,1959,1350,170000
85,RL,9180,7,1983,1983,840,144000
20,RL,9200,6,1975,1980,938,130250
20,RL,7945,6,1959,1959,1150,141000
120,RL,7658,5,2005,2005,1752,319900
50,RL,12822,5,2003,2003,1434,239686
20,FV,11096,5,2006,2006,1656,249700
190,RM,4456,5,1920,2008,736,113000
20,RL,7742,7,1966,1966,955,127000
60,RL,13869,6,1997,1997,794,177000
50,RM,6240,6,1934,1950,816,114500
90,RM,8472,5,1963,1963,816,110000
20,RL,50271,5,1981,1987,1842,385000
80,RL,7134,5,1955,1955,384,130000
20,RL,10175,5,1964,1964,1425,180500
160,FV,2645,5,1999,2000,970,172500
60,RL,11645,5,2004,2004,860,196500
60,RL,13682,5,2006,2006,1410,438780
20,RL,7200,7,1972,1972,780,124900
20,RL,13072,5,2004,2004,1158,158000
75,RM,7200,7,1920,1996,530,101000
120,RL,6442,5,2006,2006,1370,202500
70,RM,10300,6,1921,1950,576,140000
60,RL,9375,5,1997,1998,1057,219500
60,RL,9591,5,2004,2005,1143,317000
20,RL,19900,5,1970,1989,1947,180000
20,RL,10665,5,2003,2003,1453,226000
30,RM,4608,6,1945,1950,747,80000
50,RL,15593,4,1953,1953,1304,225000
20,RL,13651,6,1973,1973,2223,244000
20,RL,7599,6,1982,2006,845,129500
60,RL,10141,5,1998,1998,832,185000
20,RL,10200,7,1954,2003,1086,144900
50,RM,5790,6,1915,1950,840,107400
180,RM,1596,5,1973,1973,462,91000
20,RL,8475,7,1956,1956,952,135750
50,RM,8635,5,1948,2001,672,127000
90,RL,10778,5,1968,1968,1768,136500
50,RM,10440,6,1910,1981,440,110000
60,RL,13000,6,1968,1968,896,193500
120,RM,4500,5,1998,1998,1237,153500
20,RL,10206,5,2007,2007,1563,245000
20,RL,8892,5,1960,1960,1065,126500
80,RL,8530,5,1995,1996,384,168500
60,RL,16059,5,1991,1992,1288,260000
60,RL,11911,5,2005,2005,684,174000
160,FV,3951,5,2009,2009,612,164500
50,C (all),8470,2,1915,1982,1013,85000
20,RL,8070,5,1994,1995,990,123600
20,RL,7200,5,1950,1950,0,109900
20,RL,8500,3,1961,1961,1235,98600
30,RL,13360,7,1921,2006,876,163500
190,C (all),7200,6,1910,1998,1214,133900
60,RL,9337,5,1997,1997,824,204750
60,RL,9765,8,1993,1993,680,185000
20,RL,10264,5,1999,1999,1588,214000
20,RL,10921,5,1965,1965,960,94750
30,RL,10625,5,1920,1950,458,83000
20,RL,9320,5,1959,1959,950,128950
20,RL,10603,7,1977,2001,1610,205000
60,RL,9206,5,1985,1985,741,178000
90,RL,7018,5,1979,1979,0,118964
20,RL,10402,5,2009,2009,1226,198900
50,RM,7758,4,1931,1950,1040,169500
60,FV,9375,5,2003,2004,1053,250000
30,RM,10800,7,1885,1995,641,100000
20,RM,6000,5,1948,1950,789,115000
50,RM,8500,7,1919,2005,793,115000
20,RL,11751,6,1977,1977,1844,190000
50,RL,9525,4,1954,1972,994,136900
80,RL,7750,5,2000,2000,384,180000
60,RL,9965,5,2007,2007,1264,383970
20,RL,21000,5,1953,1953,1809,217000
70,RL,7259,8,1945,2002,1028,259500
160,FV,3230,5,1999,1999,729,176000
20,RL,11616,5,1962,1962,1092,139000
20,RL,8536,5,2006,2007,1125,155000
60,RL,12376,5,1990,1990,1673,320000
60,RL,8461,5,2005,2006,728,163990
80,RL,21453,5,1969,1969,938,180000
50,RM,6060,5,1939,1950,732,100000
20,RL,9464,7,1958,1958,1080,136000
120,RL,7892,5,1993,1993,1199,153900
20,RL,17043,5,1979,1998,1362,181000
190,RM,6780,8,1935,1982,520,84500
120,RL,4928,5,1976,1976,1078,128000
45,RM,4388,7,1930,1950,672,87000
60,RL,7590,5,1966,1966,660,155000
20,RL,8973,7,1958,1991,1008,150000
60,RL,14200,6,1966,1966,924,226000
60,RL,12224,5,2000,2000,992,244000
20,RL,7388,6,1959,2002,1063,150750
20,RL,6853,5,2001,2002,1267,220000
20,RL,10335,6,1968,1993,1461,180000
20,RL,10400,6,1970,1970,1304,174000
20,RL,10355,5,1967,1967,1214,143000
90,RL,11070,5,1988,1989,1907,171000
60,RL,9066,5,1999,2000,1004,230000
60,RL,15426,5,1997,1997,928,231500
20,RL,10500,5,1971,1971,864,115000
20,RL,11645,5,2005,2005,1734,260000
50,RL,8520,4,1952,1952,910,166000
20,RL,10335,5,1999,1999,1490,204000
90,RM,9100,5,1963,1963,1728,125000
160,RM,2522,5,2004,2006,970,130000
30,RM,6120,7,1931,1993,715,105000
60,RL,9505,5,2001,2001,884,222500
20,RL,7500,5,2004,2005,1080,141000
50,RM,6240,4,1936,1950,896,115000
20,RL,10356,6,1975,1975,969,122000
20,RL,13891,5,2007,2008,1710,372402
60,RL,14803,5,1971,1971,825,190000
20,RL,13500,7,1960,1975,1602,235000
30,RM,11340,5,1923,1950,1200,125000
50,RL,9600,5,1924,1950,572,79000
20,RL,7200,7,1950,1950,0,109500
60,RL,12003,5,2009,2010,774,269500
60,FV,12552,5,2004,2005,991,254900
60,RL,19378,5,2005,2006,1392,320000
20,RL,11120,6,1984,1984,1232,162500
60,RL,13688,5,2003,2004,1572,412500
20,RL,12182,5,2005,2005,1541,220000
45,RL,5500,6,1956,1956,882,103200
40,RM,5400,7,1926,2004,1149,152000
190,RL,10106,7,1940,1999,644,127500
20,RL,10708,5,1955,1993,1617,190000
60,RL,10562,5,2007,2007,1582,325624
60,RL,8244,5,2004,2004,840,183500
20,RL,16669,6,1981,1981,1686,228000
50,RM,12358,6,1941,1950,720,128500
20,RL,31770,5,1960,1960,1080,215000
160,RL,5306,7,1987,1987,1064,239000
20,RL,10197,5,1961,1961,1362,163000
20,RL,12416,5,1986,1986,1606,184000
20,RL,12615,7,1950,2001,1202,243000
60,RL,10029,5,1988,1989,1151,211000
50,RL,13650,5,1958,1958,1052,172500
20,RL,17423,5,2008,2009,2216,501837
30,RM,8520,6,1923,2006,968,100000
160,FV,2117,5,2000,2000,756,177000
70,RL,7588,6,1920,1950,793,200100
20,RL,9060,6,1957,2006,0,120000
50,RM,11426,5,2003,2003,1362,200000
50,RL,7438,8,1908,1991,504,127000
75,RM,22950,9,1892,1993,1107,475000
80,RL,9947,5,1990,1991,1188,173000
50,RL,10410,7,1916,1987,660,135000
90,RL,7018,5,1979,1979,1086,153337
120,RL,4923,5,2001,2002,1593,286000
70,RL,10570,8,1932,1994,853,315000
60,RL,7472,9,1972,2004,725,184000
20,RL,9017,5,1999,1999,1431,192000
160,RM,2522,5,2004,2004,970,130000
20,RL,7180,7,1972,1972,864,127000
160,RL,2280,6,1976,1976,855,148500
20,RL,9416,5,2007,2007,1726,311872
75,RL,25419,4,1918,1990,1360,235000
75,RM,5520,6,1912,1950,755,104000
20,RL,9591,5,2004,2005,1713,274900
20,RM,8546,5,2003,2004,1121,140000
20,RL,10125,6,1977,1977,1196,171500
50,RL,7000,6,1924,1950,617,112000
120,RM,4438,5,2004,2004,848,149000
50,RM,3500,7,1947,1950,720,110000
20,RL,11851,5,1990,1990,1424,180500
20,RL,13673,5,1962,1962,1140,143900
20,RL,12493,5,1960,1960,1100,141000
60,RL,14364,5,1988,1989,1157,277000
20,RL,8250,7,1964,1964,1092,145000
30,RL,5604,6,1925,1950,864,98000
20,RL,10420,5,2009,2009,1212,186000
60,FV,8640,5,2009,2009,900,252678
20,RL,13568,5,1995,1995,990,156000
60,RL,10900,7,1977,1977,689,161750
20,RL,10011,6,1957,1996,1070,134450
20,RL,8450,5,2004,2004,1436,210000
70,RM,9906,4,1925,1950,686,107000
50,RL,15660,9,1939,2006,798,311500
120,RL,3010,5,2005,2006,1248,167240
20,RL,8990,5,2006,2006,1498,204900
60,RL,8068,5,2002,2002,1010,200000
60,RL,11475,6,1975,1975,713,179900
20,RL,10500,6,1971,1971,864,97000
20,RL,13472,5,2003,2003,2392,386250
160,RM,1680,5,1971,1971,630,112000
60,RL,9950,5,1995,1995,1203,290000
160,RM,1869,6,1970,1970,483,106000
20,RL,8521,5,1967,1967,912,125000
120,RL,3182,5,2005,2006,1373,192500
20,RL,8760,6,1959,1959,1194,148000
60,RL,15138,5,1995,1996,1462,403000
160,RM,1680,5,1972,1972,483,94500
20,RL,10650,6,1976,1976,894,128200
60,RL,7851,5,2002,2002,860,216500
160,RM,1680,3,1971,1971,483,89500
20,RL,8773,5,2004,2004,1414,185500
60,RL,9453,7,1993,2003,996,194500
20,RL,12030,5,2007,2007,1694,318000
50,RL,8741,4,1945,1950,735,113000
20,FV,9000,5,2008,2008,1566,262500
30,RM,3880,9,1945,1997,686,110500
50,RM,5000,4,1900,1950,540,79000
160,RL,10762,6,1980,1980,626,120000
60,RL,8880,5,1994,2002,948,205000
20,RL,10400,5,1988,1988,1845,241500
190,RM,9142,8,1910,1950,1020,137000
20,RL,11310,5,1954,1954,1367,140000
60,RL,11317,5,2003,2003,840,180000
50,RL,159000,7,1958,2006,1444,277000
30,RL,5350,2,1940,1966,728,76500
120,RM,4750,5,2006,2007,1573,235000
60,RL,8366,5,2004,2004,798,173000
80,RL,9350,7,1964,1991,1302,158000
20,RL,8400,6,1957,1957,1314,145000
60,RL,8738,5,1999,1999,975,230000
60,FV,8791,5,2003,2003,864,207500
20,RL,8814,5,2006,2006,1604,220000
60,RL,12435,5,2001,2001,963,231500
20,RM,12702,5,1956,1956,0,97000
80,RL,19296,5,1962,1962,1362,176000
60,RL,9588,5,2007,2007,1482,276000
80,RL,8471,7,1977,1995,506,151000
50,RM,5500,7,1929,2001,926,130000
30,RM,5232,5,1925,2004,680,73000
20,RL,12090,6,1981,1981,1422,175500
60,RL,11207,5,1997,1997,802,185000
75,RL,8400,8,1939,1997,720,179500
30,RM,6900,6,1940,1955,740,120500
20,RL,7917,7,1976,1976,1143,148000
60,FV,10728,5,2006,2006,1095,266000
20,RL,39104,7,1954,2005,1385,241500
60,RL,11764,7,1999,2007,1152,290000
20,RL,9600,6,1958,1988,1240,139000
20,RL,8314,7,1982,1982,816,124500
50,RL,7264,7,1925,2007,952,205000
20,RL,9196,5,2003,2003,1560,201000
20,RL,19138,5,1951,1951,864,141000
20,RL,14450,5,2006,2007,2121,415298
60,RL,10005,5,1977,1977,1160,192000
60,RL,11287,6,1989,1989,807,228500
20,FV,7200,5,2006,2006,1262,185000
120,RL,5063,5,2007,2008,1314,207500
20,RL,9612,5,2008,2009,1468,244600
120,RL,8012,5,1992,1992,1575,179200
160,FV,4251,5,2006,2007,625,164700
50,RL,9786,7,1962,1981,912,159000
20,RL,8125,4,1971,1971,858,88000
20,RL,9819,5,1967,1967,882,122000
70,RL,8730,7,1915,2003,698,153575
60,RL,15611,5,2006,2006,1079,233230
190,RL,5687,6,1912,2000,780,135900
50,RL,11409,4,1949,2008,768,131000
60,RL,16659,7,1977,1994,795,235000
20,RL,9600,5,1953,1953,1416,167000
80,RL,7937,6,1984,1984,1003,142500
50,RM,13710,5,1950,1950,910,152000
60,FV,7399,5,1997,1998,975,239000
60,RL,11700,6,1968,1968,702,175000
20,RL,14000,8,1950,2004,1092,158500
190,RL,15750,5,1953,1953,1165,157000
60,RL,16226,5,1998,1999,1028,267000
20,RL,13704,5,2001,2002,1541,205000
20,RL,9800,7,1972,1972,894,149900
75,RM,18386,9,1880,2002,1470,295000
20,RL,10386,5,2004,2005,2000,305900
60,RL,13474,5,1990,1991,700,225000
50,RM,7920,7,1920,1950,319,89500
30,RL,12342,5,1940,1950,861,82500
20,RL,12378,5,2003,2004,1896,360000
60,RL,7685,5,1993,1994,697,165600
20,RL,8000,6,1948,2002,972,132000
190,RM,7800,7,1939,1950,793,119900
